ppt_id,player.afford_to_lose,player.larger_amounts,player.win_back_losses,player.borrowed_money,player.subjective_gambling_problem,player.health_problems,player.external_gambling_problem,player.financial_problem,player.guilt
1,,,,,,,,,
2,Sometimes,Most of the time,Almost always,Most of the time,Sometimes,Most of the time,Sometimes,Most of the time,Sometimes
3,,,,,,,,,
4,Most of the time,Sometimes,Almost always,Never,Almost always,Almost always,Never,Most of the time,Almost always
5,,,,,,,,,
6,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
7,Never,Never,Never,Never,Never,Never,Never,Never,Never
8,Never,Never,Never,Never,Never,Never,Never,Never,Never
9,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
10,Never,Never,Never,Never,Never,Never,Never,Never,Never
11,,,,,,,,,
12,Never,Never,Never,Never,Never,Never,Never,Never,Never
13,Sometimes,Never,Most of the time,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes
14,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never
15,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never
16,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Most of the time
17,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
18,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
19,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
20,Never,Never,Never,Never,Never,Never,Never,Never,Never
21,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never
22,Never,Never,Never,Never,Never,Never,Never,Never,Never
23,Never,Never,Never,Never,Never,Never,Never,Never,Never
24,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Most of the time,Most of the time,Almost always,Almost always
25,Sometimes,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
26,,,,,,,,,
27,Never,Never,Never,Never,Never,Never,Never,Never,Never
28,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
29,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
30,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
31,Never,Never,Never,Never,Never,Never,Never,Never,Never
32,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
33,Never,Never,Never,Never,Never,Never,Never,Never,Never
34,Never,Never,Never,Never,Never,Never,Never,Never,Never
35,Never,Never,Never,Never,Never,Never,Never,Never,Never
36,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
37,,,,,,,,,
38,Sometimes,Never,Never,Never,Never,Never,Never,Never,Never
39,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Most of the time
40,,,,,,,,,
41,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes
42,Never,Never,Never,Never,Never,Never,Never,Never,Never
43,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
44,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never
45,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never
46,Never,Never,Never,Never,Never,Never,Sometimes,Never,Never
47,Never,Never,Never,Never,Never,Never,Never,Never,Never
48,Never,Never,Never,Never,Never,Never,Never,Never,Never
49,Never,Never,Never,Never,Never,Never,Never,Never,Never
50,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never
51,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
52,Never,Never,Never,Never,Never,Never,Never,Never,Never
53,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
54,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Most of the time
55,Sometimes,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
56,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
57,Never,Never,Never,Never,Never,Never,Never,Never,Never
58,Never,Never,Almost always,Never,Most of the time,Never,Sometimes,Never,Sometimes
59,Never,Never,Never,Never,Never,Never,Never,Never,Never
60,Never,Never,Never,Never,Never,Never,Sometimes,Never,Sometimes
61,Never,Never,Never,Never,Never,Never,Never,Never,Never
62,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
63,Almost always,Almost always,Almost always,Never,Most of the time,Most of the time,Never,Sometimes,Almost always
64,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Sometimes
65,Never,Never,Never,Never,Never,Never,Never,Never,Never
66,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
67,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
68,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
69,Sometimes,Sometimes,Most of the time,Never,Never,Sometimes,Never,Almost always,Sometimes
70,Never,Sometimes,Most of the time,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
71,Never,Never,Never,Never,Never,Never,Never,Never,Never
72,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never
73,Never,Never,Never,Never,Never,Never,Never,Never,Never
74,Never,Never,Never,Never,Never,Never,Never,Never,Never
75,Never,Never,Never,Never,Never,Never,Never,Never,Never
76,Never,Never,Never,Never,Never,Never,Never,Never,Never
77,,,,,,,,,
78,Never,Sometimes,Sometimes,Sometimes,Most of the time,Sometimes,Never,Never,Sometimes
79,Never,Never,Never,Never,Never,Never,Never,Never,Never
80,Never,Never,Never,Never,Never,Never,Never,Never,Never
81,Never,Never,Never,Never,Never,Never,Never,Never,Never
82,Never,Never,Never,Never,Never,Never,Never,Never,Never
83,Never,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never
84,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes
85,Never,Never,Never,Never,Never,Never,Never,Never,Never
86,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
87,Never,Never,Never,Never,Never,Never,Never,Never,Never
88,Never,Never,Never,Never,Never,Never,Never,Never,Never
89,Never,Never,Never,Never,Never,Never,Never,Never,Never
90,Never,Never,Never,Never,Never,Never,Never,Never,Never
91,Sometimes,Never,Never,Never,Never,Never,Never,Never,Sometimes
92,Sometimes,Never,Sometimes,Never,Never,Never,Never,Sometimes,Never
93,Never,Never,Never,Never,Never,Never,Never,Never,Never
94,Sometimes,Most of the time,Almost always,Never,Most of the time,Most of the time,Never,Most of the time,Almost always
95,Sometimes,Sometimes,Most of the time,Never,Never,Sometimes,Never,Never,Sometimes
96,Never,Never,Most of the time,Never,Never,Never,Never,Never,Never
97,,,,,,,,,
98,Never,Never,Never,Never,Never,Never,Never,Never,Never
99,Never,Never,Never,Never,Never,Never,Never,Never,Never
100,Never,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Never,Never
101,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes
102,Never,Never,Most of the time,Never,Sometimes,Never,Never,Never,Most of the time
103,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
104,,,,,,,,,
105,Never,Never,Never,Never,Never,Never,Never,Never,Never
106,Never,Never,Never,Never,Never,Never,Never,Never,Never
107,Never,Never,Never,Never,Never,Never,Never,Never,Never
108,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never
109,Never,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes
110,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Never
111,Never,Never,Never,Never,Never,Never,Never,Never,Never
112,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Sometimes,Sometimes
113,Never,Never,Never,Never,Never,Never,Never,Never,Never
114,Never,Sometimes,Never,Never,Never,Never,Never,Never,Never
115,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
116,Never,Never,Never,Never,Never,Never,Never,Never,Never
117,Never,Never,Never,Never,Never,Never,Never,Never,Never
118,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
119,Never,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes
120,Sometimes,Sometimes,Most of the time,Never,Never,Never,Never,Never,Never
121,Never,Never,Never,Never,Never,Never,Never,Never,Never
122,Never,Never,Never,Never,Never,Never,Never,Never,Never
123,Never,Never,Never,Never,Sometimes,Never,Never,Never,Sometimes
124,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
125,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
126,Never,Never,Never,Never,Never,Never,Never,Never,Sometimes
127,Most of the time,Almost always,Almost always,Never,Most of the time,Sometimes,Sometimes,Sometimes,Most of the time
128,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes
129,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
130,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
131,Sometimes,Sometimes,Most of the time,Sometimes,Never,Sometimes,Most of the time,Sometimes,Sometimes
132,Never,Never,Sometimes,Never,Never,Never,Never,Never,Never
133,Never,Never,Never,Never,Never,Never,Never,Never,Never
134,Sometimes,Most of the time,Almost always,Most of the time,Most of the time,Most of the time,Sometimes,Most of the time,Almost always
135,Sometimes,Never,Sometimes,Never,Never,Never,Never,Never,Never
136,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes
137,Never,Sometimes,Never,Never,Never,Never,Never,Never,Sometimes
138,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Never
139,Never,Never,Never,Never,Never,Never,Never,Never,Never
140,Never,Never,Never,Never,Never,Sometimes,Never,Never,Sometimes
141,Never,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Sometimes
142,Sometimes,Sometimes,Most of the time,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
143,Never,Never,Never,Never,Sometimes,Never,Never,Never,Never
144,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
145,Never,Never,Never,Never,Never,Never,Never,Never,Never
146,Never,Never,Never,Never,Never,Never,Never,Never,Never
147,Never,Never,Sometimes,Never,Never,Never,Never,Never,Most of the time
148,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Never
149,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes
150,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Sometimes
151,Never,Never,Never,Never,Never,Never,Never,Never,Never
152,Never,Sometimes,Sometimes,Never,Never,Never,Never,Never,Sometimes
153,Never,Never,Never,Never,Never,Sometimes,Never,Never,Never
154,,,,,,,,,
